doc_id;item;category;amount;price;discount
6OLDQ88XEMJYLBOK;Полотенце банное;Текстиль для дома;1;900;0
6OLDQ88XEMJYLBOK;Фен;Мелкая бытовая техника;1;2100;0
6OLDQ88XEMJYLBOK;LED-лента;Освещение и электроприборы;2;950;0
6OLDQ88XEMJYLBOK;Средство для чистки сантехники;Бытовая химия;1;450;15
6OLDQ88XEMJYLBOK;Органайзер для белья;Хранение и организация;1;900;0
6OLDQ88XEMJYLBOK;Настольная лампа;Освещение и электроприборы;3;1800;0
LC762BP8GGG6ID2A;Набор контейнеров для сыпучих продуктов;Хранение и организация;4;1500;10
LC762BP8GGG6ID2A;Мешок для пылесоса;Товары для уборки;4;350;0
LC762BP8GGG6ID2A;Разделочная доска;Кухонные товары;4;800;0
LC762BP8GGG6ID2A;Тостер;Кухонные товары;2;2100;0
LC762BP8GGG6ID2A;Освежитель воздуха;Бытовая химия;5;350;0
AYPS6Y2AFR83AA7G;Швабра с отжимом;Товары для уборки;1;1100;0
AYPS6Y2AFR83AA7G;Вешалка-плечики;Хранение и организация;5;1200;0
AYPS6Y2AFR83AA7G;Вешалка-плечики;Хранение и организация;4;1200;0
AYPS6Y2AFR83AA7G;Вешалка-плечики;Хранение и организация;1;1200;0
AYPS6Y2AFR83AA7G;Удлинитель;Сад и ремонт;4;850;0
AYPS6Y2AFR83AA7G;Пылесос;Мелкая бытовая техника;5;5200;10
AYPS6Y2AFR83AA7G;Набор инструментов;Сад и ремонт;2;2800;0
AYPS6Y2AFR83AA7G;Набор губок;Товары для уборки;4;200;0
DAXQEC59IPHLFAP6;Освежитель воздуха;Бытовая химия;5;350;0
DAXQEC59IPHLFAP6;Освежитель воздуха;Бытовая химия;1;350;0
DAXQEC59IPHLFAP6;Стиральный порошок;Бытовая химия;5;600;0
DAXQEC59IPHLFAP6;Пятновыводитель;Бытовая химия;4;300;0
DAXQEC59IPHLFAP6;Набор контейнеров для сыпучих продуктов;Хранение и организация;3;1500;0
YFW275VN6G8FKWOF;Мешок для пылесоса;Товары для уборки;2;350;0
YFW275VN6G8FKWOF;Утюг с парогенератором;Мелкая бытовая техника;4;3700;0
YFW275VN6G8FKWOF;Вешалка-плечики;Хранение и организация;4;1200;10
YFW275VN6G8FKWOF;Комплект постельного белья;Текстиль для дома;5;2800;0
YFW275VN6G8FKWOF;Плед флисовый;Текстиль для дома;4;1200;0
YFW275VN6G8FKWOF;Ночник;Освещение и электроприборы;2;550;15
YFW275VN6G8FKWOF;Лейка садовая;Сад и ремонт;5;600;0
YFW275VN6G8FKWOF;Средство для чистки сантехники;Бытовая химия;1;450;10
YFW275VN6G8FKWOF;Салфетки из микрофибры;Товары для уборки;5;450;0
